username,displayed_name,description,followers,following,joined,user_url
aarbeloa17,@aarbeloa17,,5,"1,142", April 2009,
AmbassadorRice,@AmbassadorRice,"Personal Account. Domestic Policy Advisor, Biden White House; former National Security Advisor and UN Ambassador; Mom; Author",685,"1,005", January 2017,
BarackObama,@BarackObama,"Dad, husband, President, citizen.",132M,582, March 2007,obamabook.com
BEAUcasperSMART,@BEAUcasperSMART,"Shameless,SWAT,Dirty Dancing,The Perfect Match,Street,Honey 2,Big Bang Theory- Nicki Minaj,Nick Jonas,Prince Royce,Beyonce,JessieJ,Lil Wayne,Ariana Grande.",110,47, June 2010,m.imdb.com/name/nm3432415…
BetsyHoover,@BetsyHoover,founder of higher ground labs. partner at 270. former ofa digital organizing director. based in chicago. thoughts are my own. http://highergroundlabs.com,11,"1,072", December 2009,
brhodes,@brhodes,"Pod Save The World, MSNBC, Author - After the Fall: Being American in the World We've Made: https://penguinrandomhouse.com/books/609428/after-the-fall-by-be…",582,"1,979", January 2017,penguinrandomhouse.com/books/609428/a…
BrianCDeese,@BrianCDeese,"Dad, former Obama senior advisor, current NEC Director appointee for the President-elect.",21K,434, January 2017,
CarterCenter,@CarterCenter,"Founded in 1982 by former U.S. President Jimmy Carter & Rosalynn Carter with 
@EmoryUniversity
, the Center wages peace, fights disease, & builds hope worldwide.",94,"3,025", October 2009,cartercenter.org
cecmunoz,@cecmunoz,"Mom, wife, policy nerd, Senior Advisor 
@NewAmerica
. 8 years in the Obama White House and 20 
@WeAreUnidosUS
. Co-chair http://Welcome.US Author of More Than Ready",27,"1,173", December 2016,Ceciliamunoz.com
codykeenan,@codykeenan,"""Grace: President Obama and Ten Days in the Battle for America"" out 10/4/22. Writer 
@FenwayStrat
, Prof. 
@NorthwesternU
, Fmr. chief speechwriter for 
@barackobama",79,"1,500", December 2008,fenwaystrategies.com
Cristiano,@Cristiano,This Privacy Policy addresses the collection and use of personal information - http://cristianoronaldo.com/terms,100,60, June 2010,facebook.com/cristiano
DenisMcDonough,@DenisMcDonough,Dad. Retired coach. Proud Minnesotan. VA Secretary Nominee. Ready.,42,273, January 2017,
DevalPatrick,@DevalPatrick,"Two-term Governor of Massachusetts, civil rights attorney, business leader, beekeeper. 
@HarvardCPL
/
@BridgeTogether_
/
@American_Bridge
. Via Chicago's South Side.",55,"1,468", July 2009,
